4EA8D5C8B4E1E3865B2602A88C310FFA9E462301;1;ÉSOMÉPRAZOLE MAGNÉSIQUE TRIHYDRATÉ|;INEXIUM 40 mg, comprimé gastro-résistant;76BB1FE72E23DD1D6BC103CA9255C0D08A6A6470
2D2DEE5B9E9C01B808D93B63068AC05365A4CF21;1;OLANZAPINE|10 mg;OLANZAPINE BLUEFISH 10 mg, comprimé orodispersible
E3A38FE7321E6573E219F8903B374C99F8145A47;1;PHOSPHATE D'OSÉLTAMIVIR|59,1 mg;EBILFUMIN 45 mg, gélule;DA33769396A4D5E99618D9E86F01B7DB7898F4F7
3B25CE51CBE1B0142C8C341D9E660F3DECD53E68;1;CITRATE DE FENTANYL|628,4 microgrammes;ACTIQ 400 microgrammes, comprimé avec applicateur buccal;091519EA47A58B5F4EA78821AE2C78F66E44FE1A
E7D87DC9CAA6E7277ED4A2213917CF9BC2F5983D;1;TIPRANAVIR|250 mg;APTIVUS 250 mg, capsule molle
54598F400D7E6B4345016C6B3B7A8AA22393DE84;1;GABAPENTINE|600 mg;GABAPENTINE ARROW GENERIQUES 600 mg, comprimé pelliculé sécable
4F894AE2793473DB870595C42134E87AE5B5BCA1;1;CAPTOPRIL|50 mg;CAPTOPRIL BIOGARAN 50 mg, comprimé sécable
1C959F44806090A27E95005648EB6BF507CDCE56;1;CONVOLVULUS ARVENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES|2CH à 30CH et 4DH à 60DH (pommade à 4%);CONVOLVULUS ARVENSIS BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
4E0298B783A05E7F8CE0A6DC1E0C9C5D3DA2FA1F;1;RAMIPRIL|10 mg;RAMIPRIL TEVA SANTE 10 mg, comprimé sécable
1AD86D04989528C88572666D0447EA9A3D27968A;1;SULFATE DE SALBUTAMOL|6 mg;SALBUTAMOL MYLAN 5mg/2,5ml, solution pour inhalation par nébuliseur en récipient unidose;443D8DF766EDCA7403981CFE788B5CF83D54FDF9
