B01BC7C8D59A80E648681AE1ABF989736E9F8C9E;comprimé pelliculé;2;OLMÉSARTAN MÉDOXOMIL;HYDROCHLOROTHIAZIDE;ALTEISDUO 20 mg/12,5 mg, comprimé pelliculé
86F16C2978E7CA45CD464EC1FF0298955B60FC09;comprimé;1;NÉVIRAPINE ANHYDRE;NEVIRAPINE MYLAN 200 mg, comprimé
5C9BDB4BB4084E73781D9EA1D2F8A8318EA7921E;solution pour inhalation;1;CICLÉSONIDE;ALVESCO 160 microgrammes/dose, solution pour inhalation en flacon pressurisé
E979A59340B8FA2EE254EA7DC4477F8422DC1414;lotion;2;ACIDE SALICYLIQUE;DIPROPIONATE DE BÉTAMÉTHASONE;DIPROSALIC, lotion
4A3E7938DB8D2C557B032811414E464A35EF0E82; comprimé et solution(s) et granules et poudre et pommade;1;TRITICUM REPENS POUR PRÉPARATIONS HOMÉOPATHIQUES;TRITICUM REPENS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
A38A8692AF26E72C9F33A4E134D46381640A2623;comprimé pelliculé;1;LÉFLUNOMIDE;LEFLUNOMIDE MYLAN 20 mg, comprimé pelliculé
B78FECFE131E9D8210B8BDBB85B2ECC90E4AD1DD;solution injectable;1;MILRINONE;MILRINONE MEDAC 10 mg/10 ml, solution injectable
9ADDD43DFF100A28FD384A56DD228EB59BA8550A;capsule molle;1;MICONAZOLE (NITRATE DE);GYNO DAKTARIN 400 mg, capsule molle vaginale
127E8066F58E6D56EF4102F754B8E5862650F7E7; comprimé et solution(s) et granules et poudre et pommade;1;OXALICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;OXALICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
F12E409D2D2AE690590805C9D0145710FF99C24A;comprimé pelliculé sécable;1;VALSARTAN;VALSARTAN BIOGARAN 80 mg, comprimé pelliculé sécable
70F2E438D75723140FDD7F4C804E88C7F3BA9FC4;comprimé pelliculé;1;ANASTROZOLE;ARIMIDEX 1 mg, comprimé pelliculé
BF280304CB019BC9F5D232C88B62F67D914120A0; comprimé et solution(s) et granules et poudre et pommade;1;JABORANDI POUR PRÉPARATIONS HOMÉOPATHIQUES;JABORANDI LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
CA29EA8ADA061D9894A8FC49C3B64909C13691B9;crème;1;IVERMECTINE;SOOLANTRA 10 mg/g, crème
A678D4BCC52168FEE8DCBD29F990F996B80B0E6E;comprimé pelliculé;2;MÉTRONIDAZOLE;SPIRAMYCINE;SPIRAMYCINE/METRONIDAZOLE RATIOPHARM 1,5 M.U.I./250 mg, comprimé pelliculé
4CE1779CC618811BA6B08435CEAB02735CA01821;comprimé enrobé à libération prolongée;1;FÉLODIPINE;FLODIL L.P. 5 mg, comprimé enrobé à libération prolongée
A6EEA2084CF9F519B7CB4E7870B6A2E754E81D99;comprimé sécable;1;CANDÉSARTAN CILEXÉTIL;CANDESARTAN ARROW 32 mg, comprimé sécable
F4218A68DBD3D5D2B1B1551AEEB49C5E9E3E33F0;solution et  émulsion et  solution pour perfusion;27;CHLORHYDRATE D'HISTIDINE MONOHYDRATÉ;CHLORURE DE SODIUM;ALANINE;ACÉTATE DE ZINC DIHYDRATÉ;MAGNÉSIUM (ACÉTATE DE) TÉTRAHYDRATÉ;ISOLEUCINE;ASPARTIQUE (ACIDE);PROLINE;ACÉTATE DE SODIUM TRIHYDRATÉ;ACÉTATE DE POTASSIUM;GLYCINE;LEUCINE;THRÉONINE;CHLORHYDRATE DE LYSINE;PHÉNYLALANINE;VALINE;HYDROXYDE DE SODIUM;PHOSPHATE MONOSODIQUE DIHYDRATÉ;ACIDE GLUTAMIQUE;TRIGLYCÉRIDES À CHAÎNE MOYENNE;HUILE DE SOJA RAFFINÉE;CHLORURE DE CALCIUM DIHYDRATÉ;TRYPTOPHANE L;SÉRINE;MÉTHIONINE;GLUCOSE MONOHYDRATÉ;ARGININE;PERINUTRIFLEX LIPIDE G 64/N 4,6/E, émulsion pour perfusion
3F4B9353E34DC4FF2C72BB4C504FF309344BDA4B;comprimé pelliculé sécable;1;FLUVOXAMINE (MALÉATE DE);FLUVOXAMINE MYLAN 50 mg, comprimé pelliculé sécable
7769AF73486691CA02F82F59BD15DBEC3205485B;comprimé pelliculé;1;CHLORHYDRATE D'ACÉBUTOLOL;ACEBUTOLOL EG 200 mg, comprimé pelliculé;1414553A308661C288C291341D6353FBC383396F
C63C18C8F1E5647186E1393AF2D08AEFDA446813;comprimé sécable;1;CHLORHYDRATE D'HALOFANTRINE;HALFAN 250 mg, comprimé sécable
2D6B1018B368F41F648399F6AA862D6FC8C216F8;comprimé pelliculé sécable;1;CHLORHYDRATE DE QUINAPRIL;QUINAPRIL ARROW 5 mg, comprimé pelliculé sécable;21C28EA7E4A560FF18734B757BE43D472EECF79C
1D29AFC8E4E30CC6F4475E16773B9667906AE08A;pâte;1;SULFATE DE BARYUM;MICROTRAST, pâte orale
2C2089530D94BC023CDCD0D5BCCB88E19E67C575;gélule;1;HYDROGÉNOTARTRATE DE RIVASTIGMINE;RIVASTIGMINE SANDOZ 4,5 mg, gélule;FEB2CBAB7A223DC5354BFDF8C8E4526B10190DEC
4CF2B2963EFBA8BB0DEE68DACBA31B2042A04C41;comprimé;1;MALÉATE D'ÉNALAPRIL;RENITEC 5 mg, comprimé
6D2DD3FDCBE7D24B10B3300406AE13ADC20EC7CC;comprimé pelliculé;2;IRBÉSARTAN;HYDROCHLOROTHIAZIDE;IRBESARTAN/HYDROCHLOROTHIAZIDE RANBAXY 150 mg/12,5 mg, comprimé pelliculé
BA65CA2B809324EA7AC2390D71F07815FAB679D4;capsule molle;1;ALITRÉTINOÏNE;TOCTINO 10 mg, capsule molle
F25A051D90113D3E6CC9C84788BF252AA6EAD1BF;solution injectable;1;CALCITONINE DE SAUMON;CALCITONINE PHARMY II 50 UI/1 ml, solution injectable
6632027468C64FCC37FCE4DECAB32CD2B875363B;poudre pour solution injectable;1;CÉFOTAXIME SODIQUE;CEFOTAXIME MYLAN 2 g, poudre pour solution injectable (IM-IV);929B3B79FF658A471611EBC9CE5BF583E524970C
EE9CFB0CE33B9B3381A1891B445C338479C1DF99;comprimé pelliculé;1;ELTROMBOPAG OLAMINE;REVOLADE 50 mg, comprimé pelliculé;A206C4FD7DE2E35ACB274D4D796FB955D07C4239
7679F5F35DEAF6F0BD91B3A8651F85342E200283;solution injectable;1;INTERFÉRON ALFA-2A ;ROFERON-A 3 millions d’unités internationales (UI), solution injectable en seringue préremplie
9761949BC42D683C618223CA6B8754ABB38EFB08;comprimé pelliculé;1;VALSARTAN;VALSARTAN SANDOZ 160 mg, comprimé pelliculé
238AAC0966AF3042FED85A7E508A70D7286011E4;pommade;1;MUPIROCINE CALCIQUE DIHYDRATÉE;BACTROBAN 2 %, pommade nasale;4917279D30C307FE1914F3D9B2C5094412794A81
68683AC23DCAAA3D5F99C4FB38813E5D1E1FA377;solution à diluer pour perfusion;1;CHLORURE DE POTASSIUM;CHLORURE DE POTASSIUM PROAMP 20 % (0,20 g/ml), solution à diluer pour perfusion
E628EB73AAF87CC4BFB0533AEE9F185B2AF052A5; comprimé et solution(s) et granules et poudre et pommade;1;RHUS TOXICODENDRON POUR PRÉPARATIONS HOMÉOPATHIQUES;RHUS TOXICODENDRON LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
29AE39768C9172C8136AC3D641A587ED238DC98B; comprimé et solution(s) et granules et poudre et pommade;1;MANGANUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;MANGANUM METALLICUM BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
4A5228134C03D7F6DEE73C676F765ED38580706E;solution pour application;2;POVIDONE IODÉE;ÉTHANOL À 96 POUR CENT;BETADINE ALCOOLIQUE 5 %, solution pour application cutanée en récipient unidose
0B2ADFC053C270CB89D60B9982A354300618A74C;comprimé sécable;1;CANDÉSARTAN CILEXÉTIL;CANDESARTAN TEVA 4 mg, comprimé sécable
AA29F2273AF1AFDDDC120049DE3FEB445A72470E; comprimé et solution(s) et granules et poudre et pommade;1;FLUORICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;FLUORICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
AB415827C9D36050566EC3BB3B411DED26B3A5E2;comprimé pelliculé;1;BÊTA-ESTRADIOL HÉMIHYDRATÉ;OROMONE 2 mg, comprimé pelliculé;80D6827822B66791885F09B99210BDB7E4389E7B
52DBA581F762D17362DD67F4F64544E198FB3425;comprimé;1;VILDAGLIPTINE;GALVUS 50 mg, comprimé
D286B38FF9A04988CD339DB3C652B19D14204F7B;comprimé enrobé;1;OLANZAPINE;OLANZAPINE ACCORD 7,5 mg, comprimé enrobé
577079C7309E5C0B23F185F8002643A8B316E09C;comprimé à libération prolongée;1;DIHYDROCODÉINE (TARTRATE DE);DICODIN L.P. 60 mg, comprimé à libération prolongée;5F9576EAEBED09BF6DEA0DC9734AC4F3C6F07FAD
