969D44429915CBC27326EDBA8F70A5D482BDE114;1;PANTOPRAZOLE|20 mg;PANTOLOC CONTROL 20 mg, comprimé gastro-résistant;0
39726CBE92F8DB757B7A02F5D1408A9FFDCF010D;0;IRBESARTAN PHR LAB 75 mg, comprimé pelliculé;0
F59F2E02183295BC18E1E2DEB9F712D8D8659FAB;1;PONATINIB|45 mg;ICLUSIG 45 mg, comprimé pelliculé;1;B106B4273ADD9BC65AD2F4104236551BD50BD29D
323A0EA106B1748CBBD49EA62DAF2B339C97E17B;1;GLUCOSE ANHYDRE|5 g;GLUCOSE 5 % LAVOISIER, solution pour perfusion;1;B5C1C1308D3B9FC7D01BC4F41637FAFDF5718D4A
6E6ABC0F32AA8C84012A582FF31AF9C5A12A7AE6;1;ESCITALOPRAM|5 mg;ESCITALOPRAM BIOGARAN 5 mg, comprimé pelliculé;1;EEF9CEE6FE5149622BFD73F1FF50621D1E0FC9F1
93B52A3E6E3960642A7A83080C0FA6001CEF2E62;0;HUMEX EXPECTORANT SANS SUCRE 100 mg, comprimé à sucer;0
346522969919A0EF08AA886BA62320A8A5B4C47A;0;CROMORHINOL 2 %, solution pour pulvérisation nasale;0
5ABC86F4843591E2601E167F7FDB3154317E0797;1;MONTÉLUKAST|10 mg;MONTELUKAST MYLAN 10 mg, comprimé pelliculé;1;68B11B61EF5AFFAEA1E0316BD062116B1521F826
BAC5C4A2C8D493322F8990DD3F820994353EB812;1;LACTULOSE|10,000 g;LACTULOSE BIPHAR 10 g/15 ml, solution buvable en sachet-dose;0
468C4A746F912E23C7D3E673DA9EF8369B6689B5;0;ACARBOSE ARROW LAB 50 mg, comprimé;0
C6CCECA0B39DC742354DAB45D683CD191F372CF3;0;RISEDRONATE CRISTERS 35 mg, comprimé pelliculé;0
974BCC6E988B0561EE2DDBD3222EF8677B57AE63;0;HIRUCREME, crème;0
98588147DBA2FB626F2E3C1448A5E7425D663797;1;ALIMÉMAZINE|5,000 mg;THERALENE 5 mg, comprimé pelliculé sécable;1;4B597C728D9FDF5AB9D528A043617E1C4FDB97E7
DE2A7ABDC31A1FDDCD5D782004EE94532E75D703;0;ZOLPIDEM ALMUS 10 mg, comprimé pelliculé sécable;0
3A84143B8511DD5AB5912EE4E52D7FBD7F093D70;0;NEO MERCAZOLE 20 mg, comprimé;0
48D320E368744208157C3A993CE1EF364DA42B9D;0;ECONAZOLE ARROW 1 %, émulsion pour application cutanée;0
C89F2C75DC96B623BDAA342822449A13C7ADB1A0;1;AMOROLFINE BASE|5 g;LOCERYLPRO 5 %, vernis à ongles médicamenteux;0
DF8C79DEBCD1B7D566587141E91BFBF665DB188C;0;TADALAFIL TEVA 10 mg, comprimé pelliculé;0
D6B3992FA3CE9CE16461B8603B9F7FB2E3727204;0;NISISCO 160 mg/12,5 mg, comprimé pelliculé;0
6400283000F2B9357BBAC628F1E637C0AA19616B;1;ATOSIBAN|6,75 mg;ATOSIBAN STRAGEN 6,75 mg/0,9 ml, solution injectable;0
8A8AF5AFB7BFE2408B8079A746A93D28F023A11B;0;OXYNORM 20 mg, gélule;0
7B897EFC3177C998F21B35F850AA221E54E0FE46;0;CHLORURE DE SODIUM LAVOISIER 0,9 %, solution injectable;0
3D1298D9E1E718D94C5A0677636BB866C4DD38E7;0;GLIMEPIRIDE ACCORD HEALTHCARE 1 mg, comprimé;0
D7C39AF84E30D5B6B232D1E456BCBB2A7E0F3B72;1;NÉBIVOLOL BASE|5 mg;NEBIVOLOL ZYDUS 5 mg, comprimé quadrisécable;0
50EC1B778602DC12C689C4FDD6233F7165A2B86B;0;IRBESARTAN TEVA 150 mg, comprimé pelliculé;0
64A998335A7D63F9B83958FF095ABF13B0EC288E;0;SPIROCTAN 50 mg, gélule;0
7F540DAF4A4DD436CD2A017DC5A58AAC7A58C4CC;0;IODURE (131I) DE SODIUM 185 MBq/mL, MALLINCKRODT FRANCE, solution injectable;0
C192AED02E162585BC51818E00F823EC7F06D386;0;RIBAVIRINE SANDOZ 200 mg, gélule;0
328F146A1C62E4FB38F21A26A3F76F6EBB0D88DB;0;ADRENALINUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;0
C1EEAA43541A9860ED0CDA68FF5C45EB9E01AD63;0;DIHYDROERGOTAMINE AMDIPHARM 3 mg, comprimé;0
DD2F0A8B5E52638846DE9AD1D2D59772AF3977F1;0;EUDION 500 mg, comprimé pelliculé;0
B1F4CE27AE4BB74E938944E85A6B44162DBE9F87;0;ROUVAX, poudre et solvant pour suspension injectable. Vaccin rougeoleux vivant;0
701981D9BC7FC3733C0273AB796E6A5E337EC93E;1;MANGANÈSE|0,0728 mg;MANGANESE OLIGOSOL, solution buvable en ampoule;1;6E2414777D7BB36C95B0FF8C4819DE4D2656C794
41AB530B63154EED6398239D5632088CC93FCCBC;1;AMOXICILLINE ANHYDRE|125 mg;AMOXICILLINE MYLAN 125 mg/5 ml, poudre pour suspension buvable;1;9DECB5069810717BBC9500013CB60BC3F91C0DAC
FB161051ADC073B614CED8F78D2331D3A45C2C83;1;PAROXÉTINE BASE|20 mg;PAROXETINE ZENTIVA 20 mg, comprimé pelliculé sécable;0
F1F92E33CA9839D28CE98DB541604564F1824D22;0;AGRAPHIS NUTANS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;0
E89A46B5F00F9EDBA17537F800B285D8CBF91FA4;0;BISOCE 2,5 mg, comprimé pelliculé sécable;0
39F6E47F2983D141BB2DA6CACE20F45DDB489E3B;1;RÉMIFENTANIL BASE|5,0 mg;ULTIVA 5 mg, poudre pour solution injectable ou pour perfusion;1;389BCFD6934A419AB12663987F5DADA8154ABFA2
FCD0CED1033369F8ADA3383AE6CB533760708C93;0;NUREFLEX L.P. 300 mg, gélule à libération prolongée;0
CF320E52C8AD7C8A8A5A4BAD5A50751B3F1CD818;1;IVABRADINE|7,5 mg;PROCORALAN 7,5 mg, comprimé pelliculé;1;F0FECD3FEDF798D5A96EE615F745AB3FB4AC96F1
4BC286604C3BF51503A399CE621C8A396D8B2B7C;1;PANTOPRAZOLE|20 mg;PANTOPRAZOLE EG 20 mg, comprimé gastro-résistant;0
BD9ECD03F793FDB6A11F6AA47E53F7F66E96C157;0;GARDENAL 100 mg, comprimé;0
CD2337CCAB7B3C1A8072A4DD2548AFA530C735E0;1;CÉFOXITINE|2 g;CEFOXITINE HOSPIRA 2 g, poudre pour solution injectable (IV);0
04AC3056435ADC74D3C1ECD2B34EF7539535CA0D;1;VENLAFAXINE|37,5 mg;VENLAFAXINE TEVA LP 37,5 mg, gélule à libération prolongée;1;D625E1D7535E6136CB0B9830F67AE4A317B83F72
6C507E8AFDA6F4D6DEC2A84E60872AA4496F87A7;0;TADALAFIL LILLY 5 mg, comprimé pelliculé;0
D26836CC6E03DAC058A2A58EA787F5A14CD27448;1;LÉVOFLOXACINE|500 mg;LEVOFLOXACINE EG 500 mg, comprimé pelliculé sécable;0
505D54E1728101DCECC88A7F1D005DF5E005D940;0;AMBROXOL EG LABO CONSEIL 0,3 POUR CENT SANS SUCRE, solution buvable édulcorée au cyclamate de sodium et au sorbitol;0
0FA3622E007574135F2E192DDC6C3581C4EF8779;0;FENTANYL ZENTIVA 75 microgrammes/heure, dispositif transdermique;0
1425460E329C8A9729D5D5CA665EE84CA37753E5;1;CEFTRIAXONE BASE|1 g;CEFTRIAXONE BIOGARAN 1 g/10 ml, poudre et solvant pour solution injectable (IV);0
2BD3A4CBFFD069449D6A5AF700D8089B8AA3EA7D;0;FINASTERIDE CRISTERS 1 mg, comprimé pelliculé;0
4C0740D72238CE1C99E79BFF07F34F94A4695605;0;OLANZAPINE ARROW GENERIQUES 5 mg, comprimé enrobé;0
F93BF09080FC1A86F7AB93BCE8046E7DCB1D1C81;1;GLUCOSE ANHYDRE|5 g;GLUCOSE 5 % LAVOISIER, solution pour perfusion;0
0FFDBE9F8B0395F4704DD4CEAF8C5D56AD387ADA;0;LEDUM PALUSTRE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;0
538BD9D3CA24B06C260996E7048791A272A02258;1;MÉMANTINE|16,62 mg;MEMANTINE RANBAXY 20 mg, comprimé pelliculé;1;FCC3EC379EAFDC0D54651979DDA087411A56B3C6
BE4B63497951E57762342C5218578F6B4D713A90;0;MEDIVEINE 600 mg, comprimé sécable;0
17C43934DDF960B91C144329E62131DFDB58D8B7;1;PANOBINOSTAT|20 mg;FARYDAK 20 mg, gélule;1;23C1691C8A0536603EF91629F28D0B3F3C03EBCD
0963E5184A2A53B10B17199AA7678344DE5BC118;0;TENORETIC 50 mg/12,5 mg, comprimé pelliculé sécable;0
8350616EC25C35AB5A49EA24A5E1789B14000701;0;CORICIDE LE DIABLE 12,5 g/100 g, solution pour application locale;0
86ED3067DE54F6401AF821C44721B8D26ECE332C;1;ALIMÉMAZINE|4 g;THERALENE 4 POUR CENT, solution buvable en gouttes;1;89D1FEDD42F45B88C08C812FA026A9111A379F23
E4EF0EED7E4D886E0628C06405AF1FD35B1F89A7;0;TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule;0
9E87D845C972A129FF5E8E62E075C647305C1D7E;0;TRAMADOL ZENTIVA LP 100 mg, comprimé à libération prolongée;0
5F3314CC897621FB6B6886C30E57B4E250C12455;1;ACÉBUTOLOL BASE|400,00 mg;ACEBUTOLOL RANBAXY 400 mg, comprimé pelliculé;1;42E760179F410B8D0D6EB1E26E327F7BE81D6F17
5A9D3A9DF76857C37D73ED453D8CBC500227B87D;1;IXAZOMIB|2,3 mg;NINLARO 2,3 mg, gélule;1;FA0B2C74B69FBEDA23B56F7736691E1AF1084D71
B41F4CDD2A5AA8FF021970358043DABFCA1FABF6;0;TELMISARTAN ZENTIVA 40 mg, comprimé;0
0A41742651F5261B6BA7A163FD67CCADB5C6EF10;0;AMYLIUM NITROSUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;0
B39F2332EDD80BCDC687AC51403F4E46FB072239;1;VENLAFAXINE|150 mg;VENLAFAXINE BIPHAR 150 mg, comprimé à libération prolongée;1;5440769E3E7602EFBED8DCEE8F13052FE4EC5139
6D09C48C6C18472F2EF78BDD8B84B594D141DE9A;1;TAMOXIFÈNE BASE|20 mg;TAMOXIFENE ZYDUS 20 mg, comprimé pelliculé;0
4EDD495BCF9C4AA2CB1203904D7CD10FE0A6D83E;0;RISPERIDONE TEVA SANTE 4 mg, comprimé pelliculé sécable;0
67C4A8583311AF51A4CF6A3828911DEF979D3DAA;0;XOGEL ENFANT, gel gingival;0
B3FBB66CB51893D901767B0A092487D304E1C47C;0;CARBOMIX 50 g, granulés pour suspension buvable en flacon;0
1DC447FF83ECC782A7BC97EA7297DD93E735FB56;1;GENTAMICINE|80 mg;GENTAMICINE PANPHARMA 80 mg, solution injectable;0
