370192B5F7EA719C07D8D3664F293348A174324B;poudre pour solution pour perfusion;0;GEMCITABINE ARROW 38 mg/ml, poudre pour solution pour perfusion;0
E954053E8A2F8A25618F6006B7E632D3D88C4FF9;film orodispersible;1;SILDÉNAFIL;XYBILUN 75 mg, film orodispersible;1;C58ED0088B10829A8C1A64ED1474483EAD815EDC
E09CCD729CC98160B8EC52140619A5A3887FC5ED;comprimé et  comprimé;0;OPTIDESO 20 microgrammes/150 microgrammes, comprimé;0
D0C7E1836B5C41FEECA14A5C0B43534064B36614;solution injectable;0;CLOROTEKAL 10 mg/ml, solution injectable;0
CCA485D44E94C15237486002D169697A85E991DA;comprimé enrobé;0;RAPAMUNE 2 mg, comprimé enrobé;0
EE6CD4A621ABE175AEBBA044A2BADEF90DAD4C2D;gélule;0;PREGABALINE SANDOZ 200 mg, gélule;0
D26526A4B617CAF2E355252114DA160CFEFD6405; comprimé et solution(s) et granules et poudre et pommade;0;JUNIPERUS COMMUNIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;0
C335EEC9F90A496136B4A612EABC8167478EA9A4;solution injectable pour perfusion;0;LIORESAL 10 mg/20 ml, solution injectable pour perfusion par voie intrathécale en ampoule;0
A47BFA3F6C9E4ACD2EB8E546459D95A2E033416C;collyre en solution;1;TIMOLOL BASE;TIMOPTOL 0,25 %, collyre en solution;0
40E03AD03E7320EE1F6840F56D1C3B5B56CF5B6F;suppositoire;0;EUCALYPTINE ADULTES, suppositoire;0
B5195F41ED8A1AA85EB3BF70A6E8E24308708ED8;comprimé pelliculé;0;VALSARTAN PHR LAB 80 mg, comprimé pelliculé;0
500555935EA43BED906E47FC277D314D61FE6C12;comprimé pelliculé;0;TOPIRAMATE BLUEFISH 100 mg, comprimé pelliculé;0
A6A8FFE8026DF74320752917ED817A016EB8C921;comprimé pelliculé sécable;1;CIBENZOLINE;EXACOR 130 mg, comprimé pelliculé sécable;0
79FC3248FBF7FDD5C749D2FE0079343355808DDF;gaz;0;NOXAP 200 ppm mole/mole, gaz médicinal comprimé;0
A4E8B90D246C44CAB36E143DA7044DB46BB9F2D3;solution buvable;0;CARBOCISTEINE MYLAN 5% ADULTE SANS SUCRE, solution buvable édulcorée au maltitol liquide et au sorbitol;0
14E906038C903AECBD486AD4CBE0D1A017E33D50;comprimé pelliculé sécable;1;CITALOPRAM BASE;CITALOPRAM RANBAXY 20 mg, comprimé pelliculé sécable;0
BBD25CE06A03A1EBA7E4AE335D5AB18E2EB6BB7D;comprimé;0;TELMISARTAN TEVA SANTE 40 mg, comprimé;0
6952966B190CF123DD11BA08EAC254FEB421F7F1;comprimé pelliculé;1;FEXOFÉNADINE BASE;FEXOFENADINE TEVA 120 mg, comprimé pelliculé;0
5CB9F736EDE904A6D8CF4B088034D91A811C76EC;comprimé pelliculé;0;BISOPROLOL TEVA 5 mg, comprimé pelliculé;0
3004ACAA90CC576E9C1E0DFD575AF7BA3D611DEF;comprimé pelliculé sécable;0;OFLOCET 200 mg, comprimé pelliculé sécable;0
37F105BCB9DC2D52460F15807BFAD45B7744433B;crème;1;CHLORURE DE BENZALKONIUM;PHARMATEX 1,2 %, crème vaginale;0
6A37F29F5CD7948DA96531F99D1097101D68113B;solution pour perfusion;0;FARMORUBICINE 50 mg/25 ml, solution pour perfusion;0
F7F1D473ABCE7AED06EE06B1C4FE538F19CAB135;comprimé sécable;0;ALDACTONE 50 mg, comprimé sécable;0
EC5A6A811D19BBA3DB10F5169C308585E8D8B864;suspension injectable;0;INSULATARD FLEXPEN 100 unités internationales/ml, suspension injectable en stylo prérempli;0
C618861F9BEFE71E3A8D60313B13CF17FE0E45D5;comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE RPG 40 mg, comprimé pelliculé;1;E081A7B7613B2FE08C00DC3CD5255997C3017F0A
3FC45E31152FE156F190734C56016FFB0601568A;comprimé;0;PRAVASTATINE ALMUS 40 mg, comprimé;0
D47441365CF4EE56516DC811E07AB185FB044DEB;poudre et  solvant pour solution injectable;0;NUWIQ 250 UI, poudre et solvant pour solution injectable;0
CB84C3E8B2466779CA46B12E41609F084E374FDB;poudre pour suspension buvable;1;AMOXICILLINE ANHYDRE;AMOXICILLINE CRISTERS 125 mg/5 ml, poudre pour suspension buvable;1;15DFB504717C6EB15F326B17B15669AC430C07D5
D0E60AC5F48A89B27BA28D0E32A055C1DD8B3F8A;gel;0;CRINONE 80 mg/g, gel vaginal;0
231AABD0C92D0E08781B24F2B3CF6345EF3D404F;solution injectable pour perfusion;0;SELENIUM INJECTABLE A 10 microgrammes/ml, solution pour perfusion;0
5248B17CA10A700523757C87DFD3357DD4CE9B09;comprimé pelliculé;1;DOLUTÉGRAVIR;TIVICAY 10 mg, comprimé pelliculé;1;B59BCD22A0BA2C9976CFFB21C1ECAAC041F22163
3D19179F0CF6312491D1A2C0426FE3A321BDA513;poudre et  solvant pour solution pour perfusion;1;ÉPOPROSTÉNOL;VELETRI 0,5 mg, poudre et solvant pour solution pour perfusion;1;64CBE672A39C10A57D58E848BAB4DBF5819DDB63
887C65FC92E6EE1DDE39139B322DE93C38A8644A;gélule;0;SORIATANE 10 mg, gélule;0
17AC69717A45E5B18DB446CFFB2BCC14432CB54B;comprimé effervescent(e) sécable;0;PARACETAMOL CODEINE ARROW 500 mg/30 mg, comprimé effervescent sécable;0
4EA88561215F4F9063903F1B5BD5D354885BB5FF;comprimé à libération prolongée;1;QUÉTIAPINE;QUETIAPINE RANBAXY LP 300 mg, comprimé à libération prolongée;0
631F021F676440B0714D1C835CB68FE9AE28D756;comprimé sécable;0;GLIBENCLAMIDE BIOGARAN 5 mg, comprimé sécable;0
