755C00E988C0808401293B63D9F02E82621DE63D;1;KÉTAMINE (CHLORHYDRATE DE)|288,4 mg;B29D08B850CD1B19103C536D0CFE4D643ACE8A31
0315EF0F401B4EEDBD40E70AC4880AF928908D9B;1;GABAPENTINE|800,00 mg
DD587AE8209BB6738256BCF835461866951D5AAB;1;HYDROGÉNOSUCCINATE DE DOXYLAMINE|0,015 g
9CEF22AFBDDC3A2F0755D796CFC13AFBE02B5674;4;CHLORURE DE POTASSIUM|0,0233 g;CHLORURE DE SODIUM|0,1754 g;BICARBONATE DE SODIUM|0,0893 g;MACROGOL 3350|6,563 g
2B5534B802F41EE171B2345D625DE9524B483423;1;IMMUNOGLOBULINE DE LAPIN ANTI-LYMPHOCYTE T HUMAIN |20,00 mg
18556BAFBF9C46475C0B64B487E0DAD36D8B07FF;1;BARYTA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES|3CH à 30CH et 5DH à 60DH (pommade à 4 %)
22CF9D252AB8C7E6C1FB24BEBBCFA81215967382;1;SPECTINOMYCINE (DICHLORHYDRATE DE)|;899FD74A7941DDE401870497B827C3681252429E
19D763A083DDE8BB1173B535F4DBC0075924F433;1;ACIDE SALICYLIQUE|40 g
D80C29C1156BD6CDE23D6B5D5FD850F85A959B17;1;SODIUM (N-ACÉTYL L-ASPARTYL L-GLUTAMATE DE)|4,9 g
32864C403CFF034A7369DD6A417C2E4128D3C08E;3;CHLORHEXIDINE (ACÉTATE DE)|2 mg;LYSOZYME (CHLORHYDRATE DE)|20 mg;TÉTRACAÏNE (CHLORHYDRATE DE)|0,20 mg
C8037296A15A465939EB6C20F00872A0C0507D28;1;CITRATE DE FENTANYL|785 microgrammes;50C84DBF79CA5DAC37E3F50E8C7BED0A327ABD5D
6773038290FEC1CBCEC6E8D3C8E4E6105A1F8E64;5;ACIDE SALICYLIQUE|0,20 g;OXYQUINOL|0,10 g;ACIDE TARTRIQUE|0,70 g;SODIUM (PROPIONATE DE)|0,10 g;LAURYLSULFATE DE SODIUM|2,00 g
3B8EB1532B92F8908BFB65DE5C9E8B1B7D40577B;1;GUAÏFÉNÉSINE|1,333 g
AE6EDC00FE6DBEF50732A8FE2C2471D10E48774E;2;HYDROCHLOROTHIAZIDE|12,5 mg;RAMIPRIL|5 mg
DEABE58F8A73234D70EA138B19BA48A63913A9DF;1;SULFURICUM ACIDUM POUR PRÉPARATION HOMÉOPATHIQUE|2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % et 10 %)
6F79EE44E23E3CB7E311865A6840FBE219669818;3;PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES|0,02 ml (4 DH);VALERIANA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES|0,02 ml (6 DH);CRATAEGUS OXYACANTHA POUR PRÉPARATIONS HOMÉOPATHIQUES|0,02 ml (8 DH)
2EA5AA3B8E1810585AF954FDF7BF8E23B85FD20F;2;TOSILATE DE PÉRINDOPRIL|10 mg;INDAPAMIDE|2,5 mg
0DA72A4145D5F2E7A04BA98B441239B08BB4C49B;1;MONONITRATE D'ISOSORBIDE|20 mg
7BC4BBE80358DFFD0851E28D1A9135B7530C7096;1;PALMIER DE FLORIDE (SERENOA REPENS (W.BARTRAM) SMALL.) (EXTRAIT DU FRUIT DE)|160 mg
9296A086386FDC66E23E4F30A13CBC27039C7CF5;1;ALENDRONATE MONOSODIQUE TRIHYDRATÉ|13,05 mg;27AFF486D26FF2F4E0E37E13C5C2A21C9F00D797
5053DB61390BC7A65D6015C0AA75767F5AF7C0FF;1;MÉSILATE DE DÉFÉROXAMINE|2 g
8906729EAC69879BAD6C64446CCA8E7DED4DB10D;1;AVANAFIL|200 mg
49A0B95A3B7E54CC06F7508598321A16502E8D78;1;LORATADINE|0,1 g
1EF46115065B5342B3E13BC2853402B4A83F8E65;1;ASIMINA TRILOBA POUR PRÉPARATIONS HOMÉOPATHIQUES|4CH à 30CH et 7DH à 60DH (pommade à 4 %)
19A805F4AA7A7AA94B773D73B4776C133DCE96EE;1;ALITRÉTINOÏNE|30 mg
6A6626FDA0A514FB2DF52EA1D65CE780CBFD2042;4;CHLORURE DE POTASSIUM|46,6 mg;CHLORURE DE SODIUM|350,7 mg;BICARBONATE DE SODIUM|178,5 mg;MACROGOL 3350|13,125 g
711F2F97DBF2191B3CD3C84305CE011749EA0AE8;3;PARACÉTAMOL|400 mg;CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ|20 mg;CAFÉINE|50 mg
2BEF6635D54391082D190921602C518B71B385A7;1;TESTOSTÉRONE|22,5 mg
A4CF9D9843C3C73C7FD550D51D93BCA687F96413;1;FLUVASTATINE SODIQUE|84,28 mg;4004DD4EB8D7368F2565279EBA3D91CD0A449201
4FE6A6EBA2E31170A02404692E64DF6EDDC04D82;1;SIMVASTATINE|5 mg
71CDCB098B8946D745519DBB8E21301E7D8C0FCA;2;VIRUS DE L'HÉPATITE A SOUCHE HM175 INACTIVÉ ADSORBÉ |720 unités ELISA;ANTIGÈNE  DE SURFACE DE L'HÉPATITE B RECOMBINANT  |20 microgrammes
59104D8DD7DD8F0B758A9F7768D9EC48C8D6DFE6;1;ACIDE OBÉTICHOLIQUE|5 mg
7DEAD60C04135F43867F3A39D20AD5A7B3C35EF1;1;PRÉGABALINE|200 mg
8DD4D495D96B5679F51FC4615C8FD30FB7A643BE;1;DOMPÉRIDONE|20 mg
B2FF7C4C3D0AC23379C2737DE28B1436C2AC9827;1;CARVÉDILOL|25 mg
BE55206225EABC0C5BBD646E4442750FA7534EF0;1;DICLOFÉNAC SODIQUE|3 g
42BEB7101EA395B52FA685902536F98D382B4113;1;DIPROPIONATE DE BÉCLOMÉTASONE|50,00 microgrammes
A1B37E20447C51D4FC17D1D0A01802BF18FFA5ED;1;MÉSILATE DE PHENTOLAMINE|400 microgrammes
A42AF630530202C1316493981241C4E6699D1C34;1;BROMHYDRATE DE DEXTROMÉTHORPHANE|0,1 g
99B9D6ADD07B341A9893946AC5FC8F88210F705A;1;PASSIFLORA INCARNATA POUR PRÉPARATIONS HOMÉOPATHIQUES|2CH à 30CH et 4DH à 60DH (pommade à 4 %)
B9C37A294B6DB5D47466EB614130C11F5410A7C4;1;LACOSAMIDE|10 mg
AF9D6F9C393F41706859A9E9FF9738BC9C6C42D0;1;ESTRADIOL|4 mg
3F35D293C34A4D4F917C29BA28CDBE21308C8E25;1;CITRATE D'IXAZOMIB|3,3 mg;9E2F7FF72067B94F1438F414959139E1FC25B8C6
A6E625C0B44281EB8CC0F28B4312E5A44A6057EE;1;PROPAFÉNONE (CHLORHYDRATE DE)|300 mg
EE1169CF7806F8389031EDE503AE0117286CE0B1;1;THALIDOMIDE|50 mg
3A548C0A72B2F7347DD9BBA926DE7218E913F1D4;2;SIMÉTICONE|125,0 mg;PHLOROGLUCINOL HYDRATÉ|80,0 mg
61C64D372D733CF3748800893ED99B51B8C2EB47;1;KALIUM BICHROMICUM POUR PRÉPARATIONS HOMÉOPATHIQUES|3CH à 30CH et 6DH à 60DH
98A2E0F14F35A15F9BA9EBD0A898F08A645F0183;1;OCTOCOG ALFA |2000 UI
853DD987E03BA0131D40A4F924FA6738ACA9C8CF;2;PÉRINDOPRIL ARGININE|10 mg;INDAPAMIDE|2,5 mg
F17F110184E79913D05C5E637AA595F5A4521759;1;EAU POUR PRÉPARATIONS INJECTABLES|qsp 1 ampoule
6DB947E90DA051D8A3D804895394F1C3D8F4D4C2;1;BROMHYDRATE D'ÉLÉTRIPTAN|24,24 mg;AF604A52B2E536A1597FBC30044CD549CAD2411A
785B7517D0E1DF09DD7D8BE92454DA0EB8FA6FCF;1;BÊTA-ESTRADIOL HÉMIHYDRATÉ|1,5 mg
1247912A254A6FF2DEB82F0B2DF0E750251653A1;1;DIGLUCONATE DE CHLORHEXIDINE|0,51 g
515FC4D00C92D73BD7AEBC9B3081A8D94B2CAB1A;1;PRALIDOXIME (MÉTHYLSULFATE DE)|3,225 g;E3073C49B1DFD4CA34B1B179552EDF85E2FE0FEF
