comprimé;1;LÉVOTHYROXINE SODIQUE;THYROFIX 25 microgrammes, comprimé
comprimé;1;OLSALAZINE SODIQUE;DIPENTUM 500 mg, comprimé
comprimé pelliculé;3;ACÉTYLSALICYLIQUE (ACIDE);CAFÉINE;PARACÉTAMOL;EXCEDRINIL 250 mg/250 mg/65 mg, comprimé pelliculé
comprimé pelliculé;1;CHLORHYDRATE DE DONÉPÉZIL;ARICEPT 5 mg, comprimé pelliculé
gélule gastro-résistant(e);1;ÉSOMÉPRAZOLE MAGNÉSIQUE;ESOMEPRAZOLE MYLAN PHARMA 20 mg, gélule gastro-résistante
comprimé pelliculé;1;BÉSILATE DE CLOPIDOGREL;CLOPIDOGREL RANBAXY PHARMACIE GENERIQUES 75 mg, comprimé pelliculé
solution gouttes;3;SULFATE DE NÉOMYCINE;SULFATE DE POLYMYXINE B;DEXAMÉTHASONE (MÉTASULFOBENZOATE SODIQUE DE);POLYDEXA, solution auriculaire, gouttes
suspension buvable;2;ALGINATE DE SODIUM;BICARBONATE DE SODIUM;ALGINATE DE SODIUM/BICARBONATE DE SODIUM BGR 500 mg/267 mg pour 10 ml, suspension buvable en sachet
poudre;3;CARBONATE DE CALCIUM;ALGINATE DE SODIUM;BICARBONATE DE SODIUM;GAVISCONELL FRUITS DE LA PASSION SANS SUCRE, poudre orale en sachet-dose édulcorée à l'aspartam, au xylitol et à l'acésulfame potassique
collyre en solution;2;CHLORHYDRATE DE DORZOLAMIDE;TIMOLOL (MALÉATE DE);DORZOLAMIDE/TIMOLOL BIOGARAN 20 mg/ml + 5 mg/ml, collyre en solution
poudre pour solution injectable;1;CLOXACILLINE SODIQUE MONOHYDRATÉE;ORBENINE 1 g, poudre pour solution injectable (IV)
suppositoire;1;PARACÉTAMOL;EFFERALGANMED 150 mg, suppositoire
gélule;1;FLUVASTATINE SODIQUE;FLUVASTATINE ARROW 20 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;1;CALCAREA SILICICA POUR PRÉPARATIONS HOMÉOPATHIQUES;CALCAREA SILICICA BOIRON dégré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;1;TRANDOLAPRIL;TRANDOLAPRIL ACTAVIS 2 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;1;AMMI VISNAGA POUR PRÉPARATIONS HOMÉOPATHIQUES;AMMI VISNAGA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
liquide pour inhalation par vapeur;1;ISOFLURANE;AERRANE, liquide pour inhalation par vapeur
 comprimé et solution(s) et granules et poudre et pommade;1;CAPSICUM ANNUUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CAPSICUM ANNUUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
solution injectable;1;MORPHINE (SULFATE DE);MORPHINE (SULFATE) LAVOISIER 1 mg/ml, solution injectable
comprimé;1;CHLORHYDRATE DE BUPRÉNORPHINE;BUPRENORPHINE CRISTERS 0,4 mg, comprimé sublingual
comprimé pelliculé;1;NAPROXÈNE SODIQUE;NAPROXENE SODIQUE TEVA 550 mg, comprimé pelliculé
solution pour perfusion;25;PROLINE;CYSTÉINE;TAURINE;ACIDE GLUTAMIQUE;CHLORURE DE SODIUM;LYSINE MONOHYDRATÉE;THRÉONINE;ASPARTIQUE (ACIDE);TRYPTOPHANE;ALANINE;PHOSPHATE MONOPOTASSIQUE;LACTATE DE MAGNÉSIUM DIHYDRATÉ;HISTIDINE;PHÉNYLALANINE;LEUCINE;ISOLEUCINE;SÉRINE;GLUCOSE MONOHYDRATÉ;MÉTHIONINE;GLUCONATE DE CALCIUM;VALINE;PHOSPHATE DIPOTASSIQUE;ARGININE;TYROSINE;GLYCINE;NP100 PREMATURES AP-HP, solution pour perfusion
poudre pour solution à diluer pour perfusion;1;ACÉTATE DE CASPOFUNGINE ;CASPOFUNGINE TEVA 70 mg, poudre pour solution à diluer pour perfusion
gélule à libération prolongée;1;THÉOPHYLLINE;XANTHIUM L.P. 200 mg, gélule à libération prolongée
suspension buvable;2;ALGINATE DE SODIUM;BICARBONATE DE SODIUM;ALGINATE DE SODIUM / BICARBONATE DE SODIUM BIOGARAN 250 mg/133,5 mg pour 5 ml, suspension buvable en flacon
dispositif;1;ACIDE SALICYLIQUE;TRANSVERCID 14,54 mg/12 mm, dispositif pour application cutanée
gélule à libération prolongée;1;KÉTOPROFÈNE;KETOPROFENE TEVA LP 200 mg, gélule à libération prolongée
comprimé pelliculé sécable;1;SPIRONOLACTONE;SPIRONOLACTONE SANDOZ 50 mg, comprimé pelliculé sécable
poudre pour solution buvable;3;ACIDE ASCORBIQUE;PARACÉTAMOL;MALÉATE DE CHLORPHÉNAMINE;CLARIX ETAT GRIPPAL PARACETAMOL CHLORPHENAMINE VITAMINE C, poudre pour solution buvable en sachet
comprimé pelliculé;1;TOSILATE DE SORAFÉNIB;NEXAVAR 200 mg, comprimé pelliculé
poudre et  solution pour préparation injectable;1;ACÉTAZOLAMIDE;DIAMOX 500 mg, poudre et solvant pour préparation injectable
comprimé pelliculé à libération prolongée;2;CHLORHYDRATE DE VÉRAPAMIL;TRANDOLAPRIL;TARKA LP 180 mg/2 mg, comprimé pelliculé à libération prolongée
comprimé sécable;1;ACÉTAZOLAMIDE;DIAMOX 250 mg, comprimé sécable
comprimé pelliculé;1;BROMHYDRATE DE VORTIOXÉTINE;BRINTELLIX 10 mg, comprimé pelliculé
granulés;1;PHYTOLACCA DECANDRA POUR PRÉPARATIONS HOMÉOPATHIQUES;PHYTOLACCA DECANDRA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
solution pour perfusion;1;SULFATE D'AMIKACINE;AMIKACINE B. BRAUN 10 mg/ml, solution pour perfusion
