1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
0;PRAVASTATINE EG 40 mg, comprimé pelliculé
0;LODOZ 5 mg/6,25 mg, comprimé pelliculé
0;GENOTONORM MINIQUICK 2 mg, poudre et solvant pour solution injectable
1;LISINOPRIL ANHYDRE|5 mg;LISINOPRIL RATIOPHARM 5 mg, comprimé sécable
0;ARNICA MONTANA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ASPIRINE pH 8 500 mg, comprimé gastro-résistant
1;TIMOLOL BASE|5 mg;LATANOPROST/TIMOLOL PFIZER 50 microgrammes/5 mg par ml, collyre en solution
0;LOSARTAN/HYDROCHLOROTHIAZIDE EG 50 mg/12,5 mg, comprimé pelliculé
0;ASPIRINE PROTECT 100 mg, comprimé gastro-résistant
0;ACTISKENAN 30 mg, gélule
0;POMMADE M.O. COCHON 50 %, pommade
0;BORIPHARM N°23, granules
0;CELECOXIB SANDOZ 200 mg, gélule
0;ALFUZOSINE TEVA L.P. 10 mg, comprimé à libération prolongée
0;CERVARIX, suspension injectable en seringue pré-remplie .Vaccin Papillomavirus Humain [Types 16, 18] (Recombinant, avec adjuvant, adsorbé)
1;CITALOPRAM BASE|20 mg;CITALOPRAM ISOMED 20 mg, comprimé pelliculé sécable
0;LANSOPRAZOLE EVOLUGEN 30 mg, gélule gastro-résistante
0;ACICLOVIR SANDOZ 200 mg, comprimé
0;GLIBENCLAMIDE TEVA 5 mg, comprimé sécable
0;TESTOPATCH 1,2 mg/24 heures, dispositif transdermique
0;IBUPROFENE ZYDUS FRANCE 400 mg, comprimé pelliculé
0;VOGALENE 0,4 POUR CENT, solution buvable en flacon
0;VALSARTAN EVOLUGEN 80 mg, comprimé pelliculé sécable
0;NUTROPINAQ 10 mg/2 ml (30 UI), solution injectable
0;DILUANT PHYSIOLOGIQUE PHENOLE à 4 pour MILLE, solution injectable
0;ANGUSTA 25 microgrammes, comprimé
0;BETADINE 10 POUR CENT, solution vaginale
1;RANITIDINE BASE|300 mg;RANITIDINE BIOGARAN 300 mg, comprimé effervescent
0;FLUVOXAMINE MYLAN 50 mg, comprimé pelliculé sécable
1;GLUCOSE ANHYDRE|38,6 g;PHYSIONEAL 40 GLUCOSE 3,86 %, solution pour dialyse péritonéale
1;MANGANÈSE|0,0728 mg;MANGANESE OLIGOSOL, solution buvable en ampoule
0;DUPHALAC 10 g/15 ml, solution buvable en sachet
0;DESFERAL 500 mg, poudre et solvant pour solution injectable
0;CHIMAPHILA UMBELLATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
2;CLAVULANIQUE (ACIDE)|125 mg;AMOXICILLINE ANHYDRE|1000 mg;AMOXICILLINE/ACIDE CLAVULANIQUE ARROW 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
3;COBALT|0,0726 mg;ZINC|0,0674 mg;NICKEL|0,0726 mg;ZINC-NICKEL-COBALT OLIGOSOL, solution buvable en ampoule
0;BETAHISTINE ZENTIVA 8 mg, comprimé
0;URBANYL 10 mg, comprimé sécable
0;KETOPROFENE ARROW LP 100 mg, comprimé sécable à libération prolongée
0;GAVISCONELL SANS SUCRE FRAISE, comprimé à croquer édulcoré au xylitol, au mannitol et à l'aspartam
0;CLOMIPRAMINE (CHLORHYDRATE) MYLAN 25 mg, comprimé pelliculé
0;ADEMPAS 2 mg, comprimé pelliculé
0;HYTACAND 16 mg/12,5 mg, comprimé
0;NOVOPULMON NOVOLIZER 200 microgrammes/dose, poudre pour inhalation
0;IBUPROFENE RPG 400 mg, comprimé pelliculé
1;METFORMINE BASE|780 mg;GLUCOVANCE 1000 mg/5 mg, comprimé pelliculé
0;BISOPROLOL TEVA 5 mg, comprimé pelliculé
0;RAMIPRIL EG 1,25 mg, comprimé
0;EUPHYLLINE L.A. 300 mg, gélule à libération prolongée
0;ARANESP 300 microgrammes, solution injectable en stylo prérempli
0;ACTAEA RACEMOSA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;CEFPODOXIME|100 mg;CEFPODOXIME SANDOZ 100 mg, comprimé pelliculé
0;CISPLATINE MYLAN 1 mg/1 ml, solution à diluer pour perfusion
1;AMOXICILLINE ANHYDRE|1 g;AMOXICILLINE PANPHARMA 1 g, poudre pour solution injectable
0;BISOCE 5 mg, comprimé pelliculé sécable
0;KINERET 100 mg, solution injectable en seringue préremplie
1;ACÉBUTOLOL BASE|200 mg;SECTRAL 200 mg, comprimé pelliculé
0;ORFADIN 4 mg/ml, suspension buvable
0;MELAXIB 3,50 g/4,29 g/2,14 g pour 10 g, pâte orale en sachet
1;AZITHROMYCINE|250 mg;AZITHROMYCINE EVOLUGEN 250 mg, comprimé pelliculé
0;BETULA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;FLUCONAZOLE BIOGARAN 50 mg, gélule
1;CLOPIDOGREL|75 mg;CLOPIDOGREL MYLAN PHARMA 75 mg, comprimé pelliculé
0;DETENSIEL 10 mg, comprimé pelliculé sécable
0;ALLOPURINOL SANDOZ 100 mg, comprimé
0;ETORICOXIB ZYDUS FRANCE 60 mg, comprimé pelliculé
0;IMNOVID 2 mg, gélule
0;ACTAEA RACEMOSA FERRIER, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;FLUVASTATINE|80 mg;FLUVASTATINE ACCORD LP 80 mg, comprimé pelliculé à libération prolongée
1;CÉFUROXIME|250 mg;CEFUROXIME BIOGARAN 250 mg, comprimé pelliculé
0;AMYLIUM NITROSUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;TRAMADOL ZYDUS L.P. 150 mg, comprimé pelliculé à libération prolongée
1;TERBINAFINE|250,00 mg;TERBINAFINE LICONSA 250 mg, comprimé sécable
0;GLIPIZIDE MYLAN 5 mg, comprimé sécable
0;LEVETIRACETAM ARROW 1000 mg, comprimé pelliculé
1;OXYCODONE|35,86 mg;OXYCODONE MYLAN LP 40 mg, comprimé pelliculé à libération prolongée
0;FENTANYL MYLAN 25 microgrammes/heure, dispositif transdermique
