comprimé;0;MEDROL 100 mg, comprimé
solution à diluer pour perfusion;0;CHLORURE DE POTASSIUM RENAUDIN 7,46 % (0,0746 g/ml), solution à diluer pour perfusion
comprimé;1;TÉRAZOSINE BASE;TERAZOSINE TEVA 5 mg, comprimé
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE EVOLUGEN PHARMA 20 mg, comprimé pelliculé
comprimé orodispersible;0;PARATABS 500 mg, comprimé orodispersible
comprimé pelliculé;1;CARBIDOPA;LEVODOPA/CARBIDOPA/ENTACAPONE EG 150 mg/37,5 mg/200 mg, comprimé pelliculé
comprimé gastro-résistant(e);1;PANTOPRAZOLE;PANCRISTOLE 20 mg, comprimé gastro-résistant
comprimé pelliculé;0;IRBESARTAN/HYDROCHLOROTHIAZIDE RANBAXY 150 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE ISOMED 40 mg, comprimé pelliculé
comprimé pelliculé;0;SPIRAMYCINE/METRONIDAZOLE ARROW 750.000 UI/125 mg, comprimé pelliculé
solution à diluer injectable;0;CHLORURE DE SODIUM HYPERTONIQUE FRESENIUS 10 %, solution à diluer injectable
comprimé pelliculé à libération prolongée;1;OXYCODONE;OXYCODONE EG LP 60 mg, comprimé pelliculé à libération prolongée
solution pour perfusion;0;MESNA EG 100 mg/ml, solution injectable pour perfusion
poudre et  solvant pour solution pour pulvérisation;0;DETURGYLONE, poudre et solvant pour solution pour pulvérisation nasale
collyre en solution;2;DORZOLAMIDE;TIMOLOL BASE;COSIDIME 20 mg/mL + 5 mg/mL, collyre en solution
gélule;0;CARBOLEVURE ADULTES, gélule
comprimé dispersible;1;AMOXICILLINE ANHYDRE;AMOXICILLINE BGR 1 g, comprimé dispersible
comprimé pelliculé;1;CEFPODOXIME;CEFPODOXIME ZYDUS 100 mg, comprimé pelliculé
solution pour pulvérisation;0;RHINO SULFURYL, solution nasale pour pulvérisation
gélule;1;FLUVASTATINE;FLUVASTATINE SANDOZ 40 mg, gélule
comprimé gastro-résistant(e);1;ÉSOMÉPRAZOLE;INEXIUM 40 mg, comprimé gastro-résistant
comprimé;1;CALCIUM ÉLÉMENT;OROCAL 500 mg, comprimé
collyre en solution;1;APRACLONIDINE;IOPIDINE 1 % m/V, collyre en solution
gélule;1;AMLODIPINE;AMLODIPINE ARROW 10 mg, gélule
solution injectable pour usage dentaire;1;LIDOCAÏNE;PRESSICAINE A SANS VASOCONSTRICTEUR 3 %, solution injectable à usage dentaire
comprimé;0;CANDESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 16 mg/12,5 mg, comprimé
gel;1;DICLOFÉNAC SODIQUE;VOLTARENE EMULGEL 1 %, gel en flacon pressurisé
