capsule molle;1;ENZALUTAMIDE
solution injectable;1;DALTÉPARINE SODIQUE 
 comprimé et solution(s) et granules et poudre et pommade;1;HYDROCOTYLE ASIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé enrobé et  comprimé enrobé enrobé;2;LÉVONORGESTREL;ÉTHINYLESTRADIOL
poudre pour solution à diluer pour perfusion;1;BENDAMUSTINE (CHLORHYDRATE DE) MONOHYDRATÉ
gel;1;PROPIONATE DE CLOBÉTASOL
suspension buvable;2;ALGINATE DE SODIUM;BICARBONATE DE SODIUM
solution injectable pour perfusion;1;DOXYCYCLINE (HYCLATE DE)
lotion pour application;1;TRÉTINOÏNE
comprimé pelliculé;1;CHLORHYDRATE DE MOXIFLOXACINE
collyre en solution;1;CHLORHYDRATE D'APRACLONIDINE
solution injectable;1;MIVACURIUM (CHLORURE DE)
solution pour perfusion;1;CIPROFLOXACINE
comprimé pelliculé;1;ACTEE A GRAPPES (EXTRAIT D')
 comprimé et solution(s) et granules et poudre et pommade;1;ANISUM STELLATUM 
comprimé pelliculé;2;PARACÉTAMOL;MALÉATE DE CHLORPHÉNAMINE
poudre pour suspension ou;1;POLYSTYRÈNE SULFONATE DE CALCIUM
comprimé;4;NATRUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;BADIAGA POUR PRÉPARATIONS HOMÉOPATHIQUES;PHYTOLACCA DECANDRA POUR PRÉPARATIONS HOMÉOPATHIQUES;BARYTA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES
solution buvable;3;TROMETAMOL (CITRATE DE);CITRATE DIPOTASSIQUE ANHYDRE;CITRATE DISODIQUE
crème;1;CALENDULA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES
poudre pour préparation injectable;1;STREPTOMYCINE (SULFATE DE)
 comprimé et solution(s) et granules et poudre et pommade;1;ASPÉRULE ODORANTE POUR PRÉPARATIONS HOMÉOPATHIQUES
comprimé pelliculé à libération prolongée;1;SUCCINATE DE MÉTOPROLOL
solution et  solution injectable;1;INTERFÉRON BÊTA-1A 
gélule;1;SULPIRIDE
poudre pour solution injectable;1;PARÉCOXIB SODIQUE
comprimé enrobé et  comprimé enrobé;2;GESTODÈNE;ÉTHINYLESTRADIOL
solution injectable pour usage dentaire;2;CHLORHYDRATE DE MÉPIVACAÏNE;TARTRATE DE NORADRÉNALINE
solution injectable;1;MALÉATE DE TRIMÉBUTINE
comprimé effervescent(e);1;BÉTAMETHASONE (PHOSPHATE DE) ET DE DISODIUM
gélule;1;GINSENG (RACINE DE) (EXTRAIT SEC DE)
solution à diluer pour perfusion;1;N(2)-L-ALANYL-L-GLUTAMINE
collyre en solution;1;CYCLOPENTOLATE (CHLORHYDRATE DE)
trousse pour préparation radiopharmaceutique;1;OXIDRONATE DE SODIUM
pâte;3;PARAFFINE LIQUIDE;VASELINE;LACTULOSE
